idx,ts,level,eff,touch_count,bounce_count,direction,K,D,kd_sep,sticky,clean4,clean8,next_retrace
876,1782139980,1.13478,0.904,14,10,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13449,0.891,9,8,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13468,0.751,10,6,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13457,0.927,10,9,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13497,0.955,14,11,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13499,0.955,14,11,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.135,0.965,15,12,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13504,0.965,15,12,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.1346,0.927,10,9,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13463,0.751,10,6,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13502,0.965,15,12,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
876,1782139980,1.13496,0.955,14,11,CALL,33.09282026722491,30.18692146815872,2.9058987990661898,0,0,0,0
877,1782140880,1.13627,1.0,36,34,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
877,1782140880,1.13625,1.0,36,35,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
877,1782140880,1.13622,1.0,36,34,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
877,1782140880,1.1361,1.0,38,35,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
877,1782140880,1.13617,1.0,35,33,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
877,1782140880,1.13615,1.0,35,33,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
877,1782140880,1.13628,1.0,37,35,CALL,28.200682540306605,30.131597282053715,1.9309147417471095,0,1,0,1
879,1782142680,1.13622,1.0,38,35,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13505,1.0,17,15,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13639,1.0,41,36,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.135,1.0,17,15,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13499,1.0,16,14,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13502,1.0,17,15,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13617,1.0,37,34,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13615,1.0,37,34,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13625,1.0,38,36,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13496,1.0,16,14,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13628,1.0,39,36,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13632,1.0,41,38,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.1364,1.0,41,36,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13627,1.0,38,35,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
