duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
22,8.0,2.0,2,5,4,12.93,5.97,2.952
44,6.0,1.0,16,9,6,14.74,4.51,-1.662
55,6.0,2.0,2,9,5,12.44,4.41,1.295
16,1.0,1.0,16,3,2,16.46,4.95,-4.199
83,5.0,1.0,11,19,10,15.06,4.66,0.888
7,7.0,1.0,7,1,1,17.76,10.62,-11.558
30,20.0,1.0,2,3,2,9.92,5.18,2.489
29,15.0,2.0,2,5,2,14.25,5.04,-2.502
35,7.0,4.0,2,7,4,9.19,3.27,1.88
26,11.0,1.0,3,7,3,17.22,5.02,-2.631
17,13.0,5.0,2,1,1,11.29,4.79,4.373
14,14.0,2.0,2,3,1,14.41,5.24,-5.202
57,18.0,4.0,2,11,5,18.53,5.17,1.279
4,3.0,1.0,4,1,1,22.03,14.51,-15.962
13,4.0,1.0,2,3,2,17.45,6.5,5.142
36,12.0,1.0,2,7,2,8.32,3.42,-1.828
28,13.0,5.0,7,6,4,18.8,6.63,2.386
13,12.0,2.0,2,3,1,20.47,7.56,-5.574
68,6.0,3.0,2,11,9,15.98,5.03,1.088
7,7.0,1.0,7,1,1,14.39,9.21,-9.592
12,4.0,2.0,2,3,3,14.23,6.84,5.389
23,5.0,2.0,2,5,3,15.89,7.66,-3.301
40,1.0,3.0,2,7,3,16.2,3.21,1.853
19,2.0,5.0,2,3,2,19.28,6.0,-3.623
10,,4.0,2,1,0,12.54,6.87,6.515
87,1.0,4.0,2,17,9,21.56,4.54,-0.879
18,,3.0,2,1,0,13.5,4.36,4.096
17,7.0,5.0,2,3,2,14.57,5.53,-4.011
35,2.0,3.0,2,5,2,12.38,4.32,2.065
14,2.0,4.0,2,1,1,11.74,5.41,-4.854
46,4.0,1.0,15,11,5,17.17,6.24,1.479
15,5.0,2.0,2,3,2,16.28,7.57,-4.535
32,5.0,4.0,2,5,4,16.91,5.6,2.126
13,7.0,2.0,2,1,2,9.25,5.69,-5.736
64,4.0,5.0,2,11,8,11.53,4.62,1.068
17,2.0,5.0,2,1,2,11.6,5.07,-3.976
46,1.0,2.0,46,13,7,14.89,5.14,1.405
38,16.0,4.0,2,5,5,15.52,5.48,-1.804
10,7.0,2.0,2,1,1,13.49,6.52,6.609
7,5.0,2.0,7,1,1,16.04,9.28,-9.351
13,9.0,3.0,2,1,1,14.04,6.18,5.666
21,2.0,1.0,2,3,2,17.36,4.29,-3.72
96,13.0,2.0,2,21,10,18.16,4.25,0.87
10,,1.0,2,1,0,15.82,6.89,-7.469
18,,4.0,2,3,0,11.9,4.98,3.92
23,6.0,2.0,2,7,2,11.15,4.87,-2.716
91,1.0,5.0,2,15,11,19.07,4.85,0.787
24,16.0,2.0,2,5,2,10.93,5.03,-2.994
65,1.0,2.0,2,11,4,19.0,4.02,1.067
30,2.0,2.0,24,5,6,22.76,8.23,-2.543
38,13.0,2.0,2,7,3,16.29,6.49,1.963
18,14.0,6.0,2,1,1,10.6,4.44,-3.981
39,6.0,7.0,2,7,6,14.24,4.26,1.637
10,,2.0,2,1,0,9.5,6.59,-6.493
